id,ant_mm,body_mm,post_mm
HCD0001305,256.14548,422.27676,808.23694
HCD0008117,,,
HCD0021614,,,
HCD0022919,405.0027,541.8869,628.0525
HCD0026119,897.4064,235.50615,258.15283
HCD0029630,369.14197,427.2782,623.7825
HCD0031617,636.7654,288.44785,591.81494
HCD0040113,,,
HCD0041822,,,
HCD0042420,686.80457,308.32443,377.36542
HCD0051825,679.3468,590.5254,288.0429
HCD0059235,,,
HCD0075435,350.71875,711.74884,401.2072
HCD0114419,,,
HCD0118528,772.8646,358.97363,257.37164
HCD0119429,644.8709,336.74158,395.6294
HCD0121719,473.91837,402.97403,652.7584
HCD0123925,263.88562,746.3595,322.23392
HCD0124725,189.2607,470.19833,770.3274
HCD0125424,224.58528,718.12476,522.42633
HCD0129937,280.79926,734.5066,519.9631
HCD0130821,249.5528,637.10315,545.556
HCD0134526,,,
HCD0135831,621.8902,441.61877,423.62854
HCD0143426,513.4736,532.022,490.87347
HCD0145733,589.54346,541.65326,255.89745
HCD0146331,768.0107,188.19797,575.2963
HCD0146937,,,
HCD0152932,,,
HCD0154431,,,
HCD0161327,341.3777,650.6802,519.74414
HCD0182941,384.35925,884.7961,204.91228
HCD0183438,489.5522,417.6139,544.8021
HCD0183539,417.2831,675.5353,326.1668
HCD0185442,,,
HCD0185644,644.0745,263.3991,503.32465
HCD0197045,404.56958,485.49506,625.99835
HCD0197348,,,
HCD0203620,503.3446,424.34164,448.00012
HCD0214423,535.60724,483.8759,482.27097
HCD0215829,,,
HCD0224123,765.9305,297.5994,427.553
HCD0225529,268.88135,538.8817,508.4581
HCD0225630,653.3884,410.3651,284.15552
HCD0236130,348.28595,496.1128,551.3261
HCD0236635,264.75378,1022.0298,233.74904
HCD0244230,710.71326,490.71445,269.12903
HCD0245030,,,
HCD0245636,233.39543,477.5504,730.4966
HCD0247438,505.22754,418.70563,617.682
HCD0248440,459.12714,480.27716,480.66833
HCD0259243,582.0186,511.0041,328.29382
HCD0259546,207.57855,369.70035,902.9249
HCD0263032,,,
HCD0267242,450.0827,467.82355,518.9094
HCD0267747,469.8404,436.20087,653.4726
HCD0271031,845.20874,303.24414,259.97485
HCD0276243,,,
HCD0277447,408.31982,376.17468,704.6079
HCD0288250,267.1621,131.64381,1158.2386
HCD0294245,430.779,599.13367,402.09738
HCD0295954,666.8919,395.84473,551.0576
HCD0298758,880.8292,329.07513,369.47485
HCD0311118,556.6305,338.6479,560.9829
HCD0311320,953.64307,120.97014,285.4317
HCD0328842,541.4263,363.8991,540.7247
HCD0330021,557.4773,379.18698,568.9417
HCD0338744,523.7526,468.5879,441.55383
HCD0343333,382.1098,600.00134,444.49634
HCD0370639,521.54205,656.47864,298.70813
HCD0372542,307.94305,649.7879,511.5464
HCD0378150,,,
HCD0382343,343.92078,309.1487,839.9326
HCD0383143,296.54764,810.444,373.5157
HCD0392144,,,
HCD0392649,459.67642,374.53885,600.8886
HCD0393550,,,
HCD0394350,1208.7456,98.365585,120.708084
HCD0394754,653.23395,357.3334,408.24695
HCD0401725,473.86404,445.0468,505.06497
HCD0418338,446.24185,709.0063,303.7284
HCD0425335,441.36023,390.8776,563.15753
HCD0429343,352.57556,383.9318,673.0393
HCD0461844,,,
HCD0462341,,,
HCD0469658,590.4801,433.3288,498.82388
HCD0471746,383.7732,387.65875,450.60895
HCD0476352,,,
HCD0478356,588.73267,303.84515,558.56213
HCD0498261,448.43875,458.952,459.15472
HCD0498968,576.009,320.0307,505.44522
HCD0504735,845.78064,231.16339,253.36702
HCD0514738,803.202,255.29144,522.2915
HCD0519849,,,
HCD0520329,,,
HCD0526644,513.4934,586.836,359.12457
HCD0528850,,,
HCD0529751,,,
HCD0534138,461.28845,653.5402,422.34912
HCD0536142,557.4143,441.49725,590.65234
HCD0551946,,,
HCD0555146,642.4114,389.24255,442.04584
HCD0559760,413.43,539.67456,472.85098
HCD0571649,632.44666,407.5006,483.08746
HCD0574049,326.61334,625.6878,570.34106
HCD0576558,,,
HCD0577661,,,
HCD0581652,606.7123,443.51987,295.00073
HCD0583555,249.17104,559.2137,672.02673
HCD0584860,,,
HCD0605438,557.3375,294.21313,536.59344
HCD0614035,445.32556,777.7505,205.61798
HCD0614237,645.8715,556.41754,269.94122
HCD0616342,,,
HCD0621638,355.0694,526.8423,633.99255
HCD0626446,679.96765,535.54706,248.03513
HCD0627549,,,
HCD0627852,710.11975,234.95706,462.0993
HCD0628854,392.46283,641.7908,240.11101
HCD0630134,604.37805,212.46974,538.7451
HCD0641341,,,
HCD0643345,874.52563,271.17224,277.55664
HCD0662955,528.8324,560.1864,351.90967
HCD0664656,433.67804,233.63892,694.9568
HCD0667763,505.74155,660.975,334.0382
HCD0676764,279.1792,849.9869,250.83676
HCD0678970,,,
HCD0679770,,,
HCD0682557,229.51578,153.24405,1063.9696
HCD0684460,383.85492,448.75363,710.1881
HCD0686666,409.23608,633.2394,535.5546
HCD0692964,346.11517,494.75522,553.55054
