id,AF-L__Hipp-L_0,AF-L__Hipp-L_1,CG-L__CC__Hipp-L,CG-L__CC-isthmus__POS1-L_0,AF-L__Hipp-L_2,CC__Hipp-R,CG-L__CC__POS2-L,CC__CC-splenium__ProS-R,CG-L__CC__V3A-L,AF-L__Hipp-L_3,CG-L__CC__IFO-R__V1-R,CG-L__CC-splenium__IFO-L__V3-L,CG-L__IFO-L__V4-L,AF-L__Hipp-L_4,T-OCC-L__CC__AF-L__PuM-L,CG-L__IFO-L__V2-L,CG-L__CC__V6-L,CC__IFO-R__V1-R,AF-L__ILF-L__PHA3-L,CG-L__CC__V6-R,CG-L__CC-isthmus__POS1-L_1,CG-L__IFO-L__CC__V2-L,MLF-L__CC__Hipp-L_0,AF-L__Hipp-R_0,AF-L__CG-R__CC-splenium__Hipp-R,AF-L__CG-R__Hipp-R,ILF-R__IFO-R__CG-R__Hipp-R,AF-R__ILF-R__AF-L__Hipp-R,AF-L__IFO-R__V4-R,AF-L__IFO-R__V2-R,AF-L__IFO-R__CC__V6-R,CG-R__CC__V6-R_0,CG-R__CC__POS1-R,CG-R__CC__V1-L,ILF-R__IFO-R__Hipp-R,CC-isthmus__CC__CG-R__Hipp-R,CC-splenium__CC__IFO-L__V1-L,CG-R__CC__CC-isthmus__MIP-R,AF-R__ILF-R__Hipp-R,ST-OCC-R__IFO-R__AF-L__Hipp-R,AF-L__IFO-R__ILF-R__PIT-R,ILF-R__CC__FFC-R,CG-R__CC__V2-R,CG-R__CC__CC-isthmus__POS2-R,ILF-R__AF-L__Hipp-R_0,ILF-R__TE2p-R,AF-L__CG-R__IFO-R__Hipp-R,CG-R__CC-isthmus__CC__DVT-R,ILF-R__AF-L__Hipp-R_1,CC__CG-R__Hipp-R,ILF-R__Hipp-R,AF-L__CG-L__CC__Hipp-L,AF-L__ILF-L__PeEc-L,CG-L__CC-isthmus__DVT-L,CG-L__CC__IFO-L__V1-L,AF-L__CG-L__Hipp-L_0,AF-L__IFO-R__V3-R,CC__CC-splenium__Hipp-R_0,MLF-R__IFO-R__AF-L__Hipp-R,IFO-R__PHA2-R_0,AF-L__Hipp-R_1,AF-L__Hipp-R_2,CC-splenium__AF-L__Hipp-R,CC__V6-R,AF-L__CG-L__Hipp-L_1,MLF-R__AF-L__Hipp-R,AF-L__FX-L__Hipp-L_0,ILF-L__AF-L__Hipp-L_0,AF-L__UF-L__TGd-L,UF-R__MLF-R__AF-L__Hipp-R,AF-L__CG-L__CC__ProS-L,AF-L__CG-R__CC__POS1-R,MLF-L__AF-L__Hipp-L,CC__PreS-L,T-OCC-L__ATR-L__VLa-L,ST-OCC-L__IFO-L__AF-L__Hipp-L,CC__CC-splenium__Hipp-R_1,ILF-R__TF-R,CC__CC-splenium__IFO-L__V2-L,CC__CC-splenium__Hipp-R_2,MLF-L__CC__Hipp-L_1,ST-OCC-R__IFO-R__CG-R__Hipp-R,CG-R__CC__DVT-R,CC__AF-L__Hipp-R,AF-L__CC-splenium__Hipp-L,ST-OCC-R__ILF-R__Hipp-R,CG-R__CC__V6-R_1,CG-R__AF-L__Hipp-R,ILF-R__AF-L__Hipp-R_2,ILF-R__AF-R__TE2a-R,ILF-L__AF-L__Hipp-L_1,ILF-R__UF-R__TGd-R,CG-L__ILF-L__V8-L,ILF-L__AF-L__Hipp-L_2,ILF-L__AF-L__Hipp-L_3,ILF-R__AF-L__Hipp-R_3,CC-splenium__AF-L__ILF-R__Hipp-R,AF-L__Hipp-R_3,CG-L__CC__V2-L,AF-L__Hipp-L_5,IFO-R__PHA2-R_1,CC__V2-R,CC__CC-isthmus__CG-R__Hipp-R,AF-L__Hipp-R_4,IFO-R__ST-OCC-R__AF-L__Hipp-R,AF-L__FX-L__Hipp-L_1,CC__ILF-L__PHA3-L
HCD0001305,2.569012214080853,1.988318576151488,2.134631706221928,3.350017907289688,2.071011252827375,3.652546035373128,3.4180955395756487,3.611914353881158,3.446657436487485,1.9307489812333265,3.671495766430008,3.157794597701609,3.5115382159909587,2.037396549815185,3.505963710259252,3.423209350619329,3.5132038099212046,3.7249172408655338,2.6299122333098564,3.688261566856753,3.215561255905284,3.326456989743987,3.790095419083244,1.5219610468271012,2.1336401554664133,2.0707277444826526,3.174857440264569,2.8198023058270167,3.368615314671122,3.4638928048692463,3.7168266635003873,3.429303278049303,2.582519883491838,3.583633124012867,2.2377401356625644,3.012142600094052,3.653637753428245,3.356871480307694,2.920913250040971,3.193194084339702,3.935964712067448,2.540959106802527,3.504155935120124,3.235848720150716,2.427944287424472,3.509797068020735,2.3220488695104136,3.451415111260514,1.7603150802768115,3.4946841065572007,1.7913896566633434,2.902798201777673,3.086496422071954,3.40404737826738,3.505681635056731,2.994634917762004,3.875127450014246,3.113233781938213,3.3782978697749337,1.7490668873897828,1.9783358884535471,1.438461287257561,1.6040393099831955,3.721266492722189,2.770243750178976,2.858226844220806,1.806883800625641,3.6882815678615866,3.2718349737532697,2.9962074834745334,3.021870526541929,2.3698511062921166,3.753075177303478,2.662371392652859,3.799103617171265,4.005210730105427,3.618936969589165,2.011480914392173,3.3068020978211434,3.5929414911984288,3.858371934535959,3.58054413279143,3.3415692141591338,2.1416289160280524,1.8847224693027864,1.3637101360585646,3.543066306173339,2.3369623256660943,2.601980491194619,3.1779617135409084,2.553781592054108,2.788879207942511,3.523375146314507,1.9248994224349227,2.208708314456697,2.1342364391412256,1.5125311483168844,1.9439522864708816,3.4253104536363432,1.8808845402305057,1.870674466775989,3.680131956662188,3.3074652093814114,1.5659987365718495,1.4251059416151184,1.835202839575405,3.604128155188304
HCD0008117,2.495664148506929,2.2996653399723064,2.6119504004809224,3.784277462369833,2.1633497370918717,4.502670291535702,3.7085161482428073,4.490669651279807,3.6348549498465217,2.383949412396553,4.103093347469254,3.496437777864844,3.597228585074188,2.208093667180479,4.456485589977163,3.451267480708782,3.631276901860615,4.123313963154094,2.963444433833065,4.153200777130725,3.548306920315904,3.5960839514280223,3.9762592508682073,2.22247417655066,2.5605378582708456,2.695968285787252,3.9562749896594287,3.1140082285424056,3.782601145113472,3.6885983966849607,3.74181716518102,3.8274001729663647,3.4008136446305794,4.034564362993433,2.819175047515262,3.983303669037272,4.014453711998261,3.9344492650896288,3.441384925225577,3.8223874951202608,3.884190040312014,3.1313138382042016,3.794719536616892,3.8761450829333626,2.3607555628921086,3.6600122956399943,2.947553780454804,3.885812365608808,2.1663597883870294,4.2243374682578185,2.157900899840977,3.0296590247041317,2.609179532993437,3.720618747154224,3.666743275282885,2.645400894375572,3.898838786890322,3.765817060513748,3.870779490515646,2.7270551000338856,2.231710946380125,2.155471427823928,2.31751082768774,4.118500743063189,2.9078029506315453,3.610904814379281,2.3364650937840072,3.719695656130256,3.3497685644368187,3.531895523208921,3.01596842323605,3.210639585208564,4.096099435092922,2.920744490080448,4.172635459264978,4.108872035840843,4.115216806298544,2.1638869448281963,3.562900526891264,4.181989622955249,3.972183659830752,4.088664848448878,3.985186241432906,2.3725888035209715,2.3647058390887103,2.088097393423619,3.7796254673860417,2.691874404192768,2.865881331829135,3.2616658762057016,2.963295827635412,3.1456115574557657,3.6925707979278646,1.9299389390809176,2.351200399736579,2.6620563648563578,2.841037412603152,2.755811795861149,3.855563576254338,2.2283837330908387,2.2050932680549438,4.285308170678211,4.037621556540967,1.932826192453071,1.8919549419509747,2.1038374763590397,3.622794365211039
HCD0021614,2.4425990515587253,2.07704313201903,2.447455211151192,3.7355965927545336,2.0503291685965253,4.399981607275511,3.7361493596871775,4.352942135266921,3.6701057350190887,1.7938879235747571,4.117877989596432,3.4788934383065317,3.612136704847096,1.911615944352416,4.361315602974556,3.522807214392055,3.5880608291381324,4.174624642141119,2.1607821473936,4.239317303058322,3.675069010298348,3.516588548917058,3.577853317512136,2.058107419285549,2.550655588686184,2.4480085437812766,3.522704641557404,3.2830468917687257,3.677158110750696,3.6010857379408217,3.652711557900096,3.7076687660503818,3.1202257292555826,4.0956486471968025,3.1206941849173404,3.75947005223524,4.063580414846942,3.845660945282937,3.1059137689085303,3.744245790025948,3.755345449511836,3.593548320466544,3.721555916657527,3.80222897569176,2.518869240165523,3.612683605291392,2.7525477717798874,3.8566836209166815,1.8746754020021303,4.163195598373799,2.0636413377051275,2.865554639630288,2.3108736497141367,3.729187519820231,3.626553491764968,2.545304273620006,3.818066591384052,3.5284275953562334,3.737432393002737,2.176490339923625,2.125156411169137,1.882350035819312,1.8760802750472927,4.185756488876192,2.6604640548494745,3.4856177714422407,1.9981653337797205,3.5040293313692445,3.1153274689432497,3.379175350742955,3.1177517954112477,3.097713100508561,3.548790030875145,2.808810547339033,4.196357080371449,3.819423975252184,4.126580312067231,2.3830084050572973,3.5547998535987437,4.196831482673986,3.923451423807707,3.919695783044772,3.920010713272525,2.431661366917171,2.250433906771347,1.6700825772631458,3.734792084520248,2.424476734975258,2.8783188078105515,3.160481748483461,3.5285876763290767,2.8558452457504298,3.613754516237643,2.3731470400406622,1.9761288408113613,2.354023851142051,2.657450863917642,2.581792400816168,3.750549952241868,1.9365625584887285,2.1635551407442324,4.398210524373628,3.894908936433252,1.802344551765684,1.5787392274771417,1.769458926800461,2.3641985661621314
HCD0022919,2.7707140947171576,2.163989021583665,2.0061223949275773,3.7871357808499337,2.1332476142030643,4.227039923891844,3.794776867892709,4.225202499995724,3.7606035043885,2.2211912153373192,4.053955078,3.632981907498664,3.847423852594022,1.9763165329949388,4.139311967359571,3.7067317154166735,3.756699582813288,4.144003506630874,3.491571875518608,4.232707271105365,3.5416970101705525,3.712352284057349,3.826434218060657,1.887845109992065,2.453781391774076,2.69706015268593,3.8634230242144887,3.451983395303244,4.090450542790065,3.988740794703365,4.0339003613709306,3.954207247545538,3.4684195493267698,4.022035363753433,3.403533946007764,3.840964750644562,4.070463456084846,3.951983769161606,3.243214107962494,3.7672401077360567,4.0713247021369865,3.4003919824050604,3.947491984802468,3.948695162255075,3.037968837412537,3.9585449865438256,3.1935134220847914,3.986545915662671,1.9914258682291648,4.110618368245943,2.1062066251677165,3.1888985510500416,2.713331823308005,3.7738900912782,3.787436171247082,3.092717262111647,4.0986052050533095,3.955540965124929,3.8930916433607816,2.341574106923536,2.433789626128815,2.119069603975124,1.8515696827171204,4.122628020214651,3.280974829281325,3.6142854500095374,1.8180040095750956,3.5069459303837847,3.1554629400646754,3.50174127944925,3.268936690815275,3.432704559436677,3.78840489910205,2.6939386684922577,4.637216734295378,3.838328365178167,3.995001417959928,2.98849741048949,3.795570506461311,4.127066536586932,3.948285364881628,4.09856669811477,4.087781248292425,2.4486158684137265,1.956265732910664,3.1079631085929003,4.065340996,2.595986042446602,3.1954440896087264,3.2598851067450134,2.5116875078161,3.094404252519392,3.782985289409268,2.150506402273596,2.2197662318607647,2.5775688340229808,3.244619025348402,2.758243345886004,3.869313250904501,2.2124706373615592,2.0582202197511728,4.268271372581046,3.985097098556897,2.095391134675731,1.8376458856500943,1.9045568691483363,3.5286076665584805
HCD0026119,1.8655215863152077,1.9599737449665344,2.2236986021841614,3.916403672827882,2.221134694852282,4.662704617456388,3.690060454798113,4.621058626081906,3.739739315284964,1.7139169286425888,4.233454533933648,3.753852460559396,3.660586191111871,2.2471813218920667,3.2415792216203885,3.373002083675219,3.708593550719792,4.223529009414146,3.411694668144001,4.331287669651535,3.699301254582013,3.6279880359986136,3.894357020962016,2.0445010945108795,2.3437181818204937,2.42819626474031,4.007740987712539,3.3421756193835166,3.853755262263831,,3.5820437772538325,,3.5756585137056263,4.00009211638188,2.731341398987376,4.162545605398801,4.012369175805011,,3.3496374775137383,3.5636900735414767,,3.657093491985555,,3.992575401105817,3.283020272330593,3.8086022684772,2.881893549135384,3.88329792,1.9582265374092107,4.3757850352133225,2.321647873465738,2.4507136438621733,2.0972373587809217,3.6432921785267416,3.635422639014939,1.99652160307012,3.9502158941553938,2.997966877181165,3.9193107258537023,2.048277189771423,1.955120004897168,1.82543835702057,1.9753991479431257,4.085293341778061,2.579935714818008,3.374634762436939,1.8387473404068813,2.789350582411964,3.1367303815260734,3.4470478226561747,3.1954067874621543,3.600899223437034,,2.3027145963442424,2.887307826201912,3.966189233123807,4.031027116837908,2.823050265020565,3.623122837928807,4.204220765060075,3.8585031318425536,3.9274156398861058,4.161215313307245,2.3407963397075684,1.908670243653088,3.424376913563851,,2.296577447222331,2.800174721951746,3.386360541062002,3.15208177499693,3.346576477733052,3.762658077126851,2.0798454017887056,1.7871826816966636,2.190163377209969,1.7582646779865974,2.225606998929431,3.861731345956552,1.9576629486754868,2.521786609886116,4.509507275679202,,1.8568481334697136,1.9873817890765515,1.829065560348336,3.736888105027676
HCD0029630,2.2654331558204,2.101300817765169,2.41153972327606,3.7889475292751857,2.254609686559616,4.208869064614991,3.68629614666793,4.319825546485929,3.3894950803636497,1.95134094427451,3.845816704340588,3.50461922630059,3.570807590589253,2.154662344278542,3.431490434834999,3.5180209692484605,3.509592266279611,3.882865891041278,3.6693080572368473,3.997162503930982,3.6556932574986662,3.42977849736186,3.761789322,2.053732602418982,2.5531027179546792,2.74840083138082,4.01185797382871,3.670153409177255,4.017968083357909,3.9248250319547697,3.8906404277233553,3.9334713175147566,3.729230265784242,3.664007161368378,3.2973163224896838,4.173599508370866,3.6424408762417326,3.924369014564866,3.5184673086650924,3.738831219025233,4.029917104667396,3.625061848900982,3.776212936661727,4.026373932556506,2.9593149006194306,4.116415742739648,3.0487927103152965,3.905121199219472,2.1686847216081997,4.064799957666681,2.284347226161179,2.5770993674197524,2.563736691682055,3.595969183320093,3.4981973756277047,2.0468310015023365,4.114309210907834,3.5944858829495163,4.0477083430276055,2.1644257352583995,2.2310778996675644,2.0003223753467805,2.160139115095322,3.88111846346287,2.6107911860625403,3.6887597055656696,2.229309081595276,3.599434884322264,3.300354362321445,3.5755428391160584,2.971531591021188,3.5177399752716,3.4890586885183805,2.461254648737286,3.045425543749271,3.8721798389737168,3.638070155546771,2.5802972245340428,3.5095189423904785,3.938962174958415,3.835746257665343,4.09316348094161,4.070837353610569,2.629919194894419,2.2366183283298864,2.330063525137822,3.832173568102636,2.7776877690427413,3.136901497509836,3.63748974761684,3.5443920733671805,3.246202832216407,3.6615353530627752,2.2077937611026672,2.098356130017151,2.7272191266942944,3.0607246273985957,2.7481850869600457,3.5896067392993523,2.018839126761993,2.53928817444284,3.985954852229385,4.129241880545016,1.842308192804456,1.836791708883569,1.832330888722016,3.7918940860008448
HCD0031617,2.752601559046011,2.0864752553939256,2.2737548359343345,3.804890540541796,2.405879202892601,4.186758632485211,3.778850781615599,4.150562220540645,3.505079575946308,1.9676924894186565,4.106580166904869,3.427539529352607,3.610227963969508,2.121743372667372,4.19993124088359,3.3436953273910257,3.489538830443553,3.886287809620921,3.4082185232699285,4.066331021639844,3.738589655707713,3.379868297104319,3.838274260332916,2.008556595046725,2.5540100332551705,2.71168392560435,3.869740081194811,3.910227411144984,3.7547458861557694,3.655992131543416,3.8122937997383977,3.839418255709028,3.71372561628907,3.6884620151007335,3.817832068225332,4.010249247936552,3.5237717904074617,3.911479510151716,3.145578402909012,4.326795874024392,3.966501078340241,3.786065448174225,3.7235309727889976,3.986707537569255,2.6722490381196797,4.21869649163381,3.3410781811432217,3.864046740790761,2.448298631254312,4.390580114992448,2.2124345926836444,3.2219771842375904,2.1771464247050383,3.6801810023885806,3.356548214219416,3.0667709514619617,3.9949308603060674,3.0494389765688186,4.184109451291896,3.769283919714789,2.2502043366145017,2.164164022068967,2.4192780157738696,3.908282042,3.0414803757894098,4.032775872651074,1.956428783932256,3.7656244562374863,3.309233251881883,3.999827113643528,3.3859255227786376,3.5712086108438013,3.958633336176719,2.57257907902316,4.089315069507275,3.8943521550761178,3.6694040262479946,3.4571159551510693,3.4908247893156847,4.026608777445878,3.8467063075547383,4.321771960355033,3.955684597795955,2.390271402329609,1.9012837221122505,1.7484643397647286,3.788520302931834,2.5145309647641096,3.2216458562288834,2.9134222357024395,3.706429152301,3.4117514576966688,3.6652069215198098,2.2232414045716027,2.308173151557114,2.1394736642166183,2.781123241385445,2.4392479063598653,3.5704844462722343,2.051015682944175,2.903441304472685,4.159260289989151,3.980807843820722,1.891622332123914,1.9894700698203716,1.98716906394958,3.585072657189265
HCD0040113,2.225655996633979,1.7539941680582198,2.090635223863748,3.249286621888817,2.0562008308608277,3.906150736411018,3.2329119859884665,3.991897725946692,3.311124537948845,1.7673227283987694,3.6535481347332,3.007357753270456,3.333225179610904,1.7977620304863469,3.60869212881839,3.1726713716151025,3.476052553878036,3.6648411773598712,2.4213695427265685,3.609396372839043,3.227098135248617,3.224789670218523,3.1822465800532065,1.6555587733984864,2.22269327345805,2.2474352294436226,3.116429708114929,2.857148571782853,3.5289301998471765,3.4729274547594216,3.465268585690544,3.512305597840136,3.048956898924248,3.5803414103298428,2.8155180448001422,3.474607045844892,3.484685119905296,3.418499851451417,2.791981035758897,3.091991850459708,3.4489575777061674,2.896683439814153,3.4814474442853425,3.4203399543571384,2.205758153952977,3.143371692197832,2.522796469684718,3.476208508482741,1.9317939743503896,3.8137436268921294,2.010970524882203,2.2592948396583545,2.046486562297104,,3.4028717065350653,2.29621047569412,3.454151422149881,3.30598389207836,3.354590700061904,2.242485602581272,1.9113950287041808,1.923235945698634,1.7965312643203966,3.573640292390708,2.21115752029127,2.976191630007463,1.6705369202068454,2.8267011072155794,3.0347664976910127,2.9493014762519363,2.391463758047309,2.895028346735251,3.026703489099018,2.1097272883291165,3.4587204908484788,3.305364018889894,3.602238935382127,2.1487814065506496,3.2423798741407936,3.634493219063054,3.151736641473045,3.4898888009775155,3.569732863700482,2.3317756614285745,1.7474147847686947,1.7870526831575675,3.482188578984946,2.518269163746391,2.5458990705277604,2.8812183514964147,2.16502252477099,2.8092282845701217,3.099486759154739,1.9961596659886265,1.5832206761812049,2.595042411721696,2.074874958424229,2.358444172033781,3.1752616092095898,1.816443046826923,2.113659467021693,3.788972518387933,3.525850547840754,1.7808418792282854,1.6101951389616835,1.570670915397883,3.0094877026783564
HCD0041822,2.3159035159362817,1.8368205182489712,2.2154194595798016,3.546589384158782,2.065091319370472,4.081968495521799,3.5927494547607464,4.063767921567472,3.4336739768966407,1.8568956319673209,3.909460185171668,3.4531957846535497,3.537642286154271,1.9342701795287711,4.014518964386549,3.4460843659471903,3.38612823045918,3.867551035570035,3.036977520681139,3.909475076663961,3.425742410429068,3.437300304088588,3.675360564572918,1.957041347743511,2.3589177357750613,2.525247569186037,3.6130468510461022,3.3854345731584,3.751605037054335,3.67328188000532,3.556502048060784,3.581966877928411,3.203272369782268,3.8322312205870257,2.823684259667465,3.5981487212659657,3.872256667650067,3.782323560432597,2.875690862515966,3.713744219717928,3.751871181241064,3.261202463322539,3.5292326818970854,3.6732345013680567,2.442156924684073,3.6518648057840055,3.055738825553548,3.646815351051056,2.052608198199376,4.013462921888724,1.9851923646634928,2.9664790314716982,2.077121807622958,3.470541919827935,3.384260566172229,2.937310496429899,3.746211157196466,3.645993622851341,3.6086486694422937,2.220310537445518,2.3659564819812267,1.7996813093629611,1.815434179506444,3.897747976375278,2.9477809306688827,3.4330174015969264,1.771436539134995,3.4824499821637653,3.269861857957608,3.315521384696416,3.021786828455995,3.001955909389251,3.702835427499505,2.5667143629300533,3.684154062244892,3.7796397461265774,3.838847381587864,2.5592698257104325,3.5941985571395416,3.945856489317783,3.66517945007117,3.8315875376524393,3.695964870748647,2.340104316040577,1.7764338343725743,1.8013349153691285,3.585788418062016,2.4994123852234478,2.866900275353503,2.8102497774892146,2.23098874207547,2.8657558870112068,3.620207259204938,1.97078489967728,1.9757478577870733,2.087538380586868,2.030157291404648,2.342311358631668,3.534245195210452,1.9553163892476333,2.204288653762436,4.044261326117308,3.794566922230084,1.878309418829443,1.827201901431341,1.6738784096559358,3.3587820113477065
HCD0042420,2.253085396448336,1.7420185763947398,2.1150706502146344,3.5048328092387613,1.834654630209352,3.819063828007702,3.4155732015390488,3.845074968286201,3.3707938564674045,2.43195809876106,,3.548200657231471,3.4647637244727023,1.8571382912508152,3.626956439718673,3.43395836885099,3.3047239288111654,,3.333449385849578,,3.377466603445688,3.2863482923390808,3.845430184728608,1.85541224065376,2.037326021635335,1.938162800030215,3.5958154122874832,3.586096529886745,3.706996830747435,3.6030193791027942,3.549945258363865,3.562054566520582,3.4002667052433706,,3.8624965231820583,3.680298283462714,3.692577839,3.668292324847849,3.378087258517313,3.682418685922488,3.719472593416009,3.7769138894767513,3.4647158393549264,3.722146967645115,3.2017002394564478,3.750961474632266,2.6934912871209638,3.5432405066392345,2.0735509700701624,3.31763055395663,2.1979723495835524,2.5032304141981863,3.1716080492921543,3.3695097657808084,3.397662988957709,1.9789011780921768,3.763582589309338,2.8180868909655943,3.9063262915688304,2.133876525036372,2.125338073233807,1.7345074329568702,1.77325471272843,,1.8899407090455267,3.5872224114705107,1.5911773454661964,,,3.387057352354449,2.1805050445690832,2.889101794821789,3.684599876,2.155527946430326,,3.7463666317292255,,3.494373223289857,3.459090850860568,3.768763304,3.727653750553501,4.084853879413285,3.629893909166339,2.1758273616575723,1.5828418263588182,3.0136583702628115,3.4875376803686384,2.058134662232153,3.202868745017801,3.2114300729999994,3.500960716974065,3.0820751974552723,3.5424546427847474,2.458846202465286,2.410435717232552,2.294153256263671,1.691168977715759,2.413849802557462,3.4417235773028665,1.7552180812398388,2.050166402171393,,3.788944866231744,1.7915816772530198,1.6775421159717852,1.649895667365454,3.64849456956588
